Ballots with first choice:,Number of Ballots,AHSHA SAFAI ranked in top 3,BERTA HERNANDEZ ranked in top 3,FRANCISCO HERRERA ranked in top 3,KIM ALVARENGA ranked in top 3,MAGDALENA DE GUZMAN ranked in top 3
AHSHA SAFAI,9466.0,100.0,22.92,28.14,41.84,30.16
BERTA HERNANDEZ,1607.0,29.37,100.0,50.47,36.53,54.45
FRANCISCO HERRERA,2618.0,27.46,49.2,100.0,36.63,46.14
KIM ALVARENGA,8670.0,35.72,29.65,43.78,100.0,30.83
MAGDALENA DE GUZMAN,3019.0,31.0,49.22,44.55,33.32,100.0
