Ballots with first choice:,Number of Ballots,BILL FAZIO ranked in top 3,DAVID ONEK ranked in top 3,GEORGE GASCÓN ranked in top 3,SHARMIN BOCK ranked in top 3,VU VUONG TRINH ranked in top 3
BILL FAZIO,19252,19252,5176,8405,7430,2646
DAVID ONEK,43398,16127,43398,9660,31075,3147
GEORGE GASCÓN,76236,27075,19152,76236,33596,7772
SHARMIN BOCK,38005,12244,14362,16990,38005,6332
VU VUONG TRINH,6596,1582,2216,2320,2871,6596
