Ballots with first choice:,Number of Ballots,Brad Bourn ranked in top 3,Geneva Hanvik ranked in top 3,Meg Forney ranked in top 3,Steven Jecha ranked in top 3,writeIns ranked in top 3
Brad Bourn,4023.0,100.0,8.68,41.54,21.92,0.52
Geneva Hanvik,277.0,32.13,100.0,39.35,29.96,0.72
Meg Forney,3040.0,29.7,17.8,100.0,21.48,0.56
Steven Jecha,978.0,31.19,16.56,46.22,100.0,1.02
writeIns,36.0,8.33,0.0,5.56,2.78,100.0
