Ballots with first choice:,Number of Ballots,David Heller ranked in top 3,Jake McGoldrick ranked in top 3,Jeffrey S. Freebairn ranked in top 3,Leanna Dawydiak ranked in top 3,Lillian Sing ranked in top 3,Matt Tuchow ranked in top 3,Rose Tsui ranked in top 3
David Heller,2012,2012,649,210,588,672,764,316
Jake McGoldrick,11815,2562,11815,669,2420,3833,5384,1409
Jeffrey S. Freebairn,132,40,32,132,33,41,37,37
Leanna Dawydiak,1380,439,436,92,1380,488,549,264
Lillian Sing,8989,1858,2858,148,1806,8989,3810,3428
Matt Tuchow,2864,881,1173,138,799,1355,2864,460
Rose Tsui,1595,351,406,51,291,850,525,1595
