Ballots with first choice:,Number of Ballots,GEORGE BEIER ranked in top 3,JACQUELYN MCCORMICK ranked in top 3,LORI DROSTE ranked in top 3,MIKE ALVAREZ COHEN ranked in top 3
GEORGE BEIER,1198,1198,514,719,595
JACQUELYN MCCORMICK,837,488,837,538,257
LORI DROSTE,1318,605,587,1318,688
MIKE ALVAREZ COHEN,1165,677,398,618,1165
