Ballots with first choice:,Number of Ballots,CAROL LEE TOLBERT ranked in top 3,IGNACIO DE LA FUENTE ranked in top 3,MICK STORM ranked in top 3,REBECCA KAPLAN ranked in top 3,THERESA ANDERSON ranked in top 3,writeIns ranked in top 3
CAROL LEE TOLBERT,22606,22606,8429,4867,10212,9060,235
IGNACIO DE LA FUENTE,42680,16955,42680,6764,17218,9211,562
MICK STORM,4567,2284,1251,4567,1530,1922,66
REBECCA KAPLAN,65041,28514,23460,8986,65041,15994,731
THERESA ANDERSON,8805,4594,1613,2183,4079,8805,77
writeIns,821,96,69,37,119,50,821
