Ballots with first choice:,Number of Ballots,"Condit, James E., III ranked in top 3","Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Dixon, Vincent Lawrence ranked in top 3","Galluccio, Anthony D. ranked in top 3","Hall, Robert L. ranked in top 3","Horowitz, Jacob ranked in top 3","Iskovitz, Steve ranked in top 3","Jens, Steven E. ranked in top 3","King, Ethridge A. ranked in top 3","Maher, David P. ranked in top 3","Murphy, Brian ranked in top 3","Peixoto, Helder ranked in top 3","Pitkin, John ranked in top 3","Reeves, Kenneth E. ranked in top 3","Simmons, Denise ranked in top 3","Sullivan, Michael A. ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3","Williamson, James M. ranked in top 3",writeIns ranked in top 3
"Condit, James E., III",62.0,100.0,9.68,17.74,14.52,20.97,9.68,3.23,11.29,24.19,6.45,8.06,3.23,6.45,3.23,4.84,6.45,4.84,4.84,11.29,1.61
"Davis, Henrietta",1697.0,0.35,100.0,33.53,1.53,16.56,0.88,12.2,2.18,0.53,17.15,7.72,28.7,1.36,18.8,9.25,26.1,5.36,3.42,0.29,0.24
"Decker, Marjorie C.",1525.0,0.59,34.82,100.0,1.05,19.41,2.49,3.08,3.41,0.46,8.46,8.26,27.15,1.57,13.44,15.48,29.11,8.98,5.25,0.52,0.2
"Dixon, Vincent Lawrence",87.0,4.6,6.9,16.09,100.0,11.49,6.9,5.75,12.64,13.79,11.49,9.2,9.2,1.15,14.94,6.9,13.79,16.09,8.05,12.64,0.0
"Galluccio, Anthony D.",3212.0,0.9,9.96,12.42,1.34,100.0,2.46,1.43,0.93,1.37,4.76,34.93,7.07,1.74,3.99,14.41,10.12,41.5,23.23,0.53,0.03
"Hall, Robert L.",149.0,2.68,8.72,44.3,1.34,18.12,100.0,5.37,5.37,1.34,7.38,9.4,15.44,3.36,6.04,8.05,38.26,6.04,2.01,2.01,0.0
"Horowitz, Jacob",150.0,0.67,24.67,10.67,0.67,7.33,1.33,100.0,20.0,4.0,28.0,3.33,22.67,0.0,20.67,6.0,22.0,2.67,2.0,1.33,0.0
"Iskovitz, Steve",340.0,1.18,26.47,20.29,5.88,5.29,2.06,5.0,100.0,3.53,12.06,2.35,17.65,3.82,20.29,7.35,32.35,1.18,3.53,10.0,0.59
"Jens, Steven E.",275.0,16.73,6.55,5.45,8.0,27.27,4.73,4.0,2.55,100.0,7.64,17.45,4.0,3.27,6.91,5.09,5.82,15.64,8.36,2.55,0.36
"King, Ethridge A.",370.0,0.81,25.14,16.49,2.7,14.86,2.16,8.38,3.24,2.7,100.0,9.46,18.11,2.16,13.78,21.89,27.03,5.41,2.7,0.81,0.54
"Maher, David P.",1008.0,0.99,8.63,11.01,0.79,49.31,1.98,0.99,0.79,1.59,2.38,100.0,6.35,1.39,4.17,7.14,6.35,47.02,24.4,0.3,0.0
"Murphy, Brian",1707.0,1.58,39.89,30.05,0.53,12.65,1.99,7.03,2.46,0.59,10.43,7.67,100.0,1.99,25.48,7.62,24.02,7.32,1.93,0.47,0.12
"Peixoto, Helder",61.0,6.56,16.39,3.28,6.56,22.95,1.64,3.28,4.92,1.64,1.64,8.2,6.56,100.0,6.56,16.39,9.84,19.67,26.23,8.2,1.64
"Pitkin, John",1084.0,1.29,40.68,23.99,1.66,10.42,1.66,5.81,4.06,1.29,11.16,6.18,30.35,1.29,100.0,6.73,27.12,6.0,4.43,1.29,0.18
"Reeves, Kenneth E.",1133.0,0.53,17.21,20.04,1.06,25.68,1.5,1.32,1.15,0.53,14.03,6.18,5.83,1.15,3.71,100.0,46.69,16.77,9.53,0.97,0.09
"Simmons, Denise",1327.0,0.9,27.81,32.18,1.06,13.04,1.58,4.75,3.69,0.75,15.3,3.54,20.57,0.53,12.13,31.8,100.0,6.33,4.82,0.9,0.0
"Sullivan, Michael A.",1297.0,1.16,8.56,10.41,2.39,47.49,1.08,0.77,0.54,0.54,1.08,32.92,4.78,1.23,2.7,9.02,6.01,100.0,41.63,0.85,0.15
"Toomey, Timothy J., Jr.",1387.0,0.72,6.85,10.53,2.31,43.84,0.94,0.5,0.65,0.65,1.23,20.12,2.81,3.53,2.52,7.79,4.54,50.04,100.0,0.58,0.22
"Williamson, James M.",55.0,12.73,9.09,20.0,12.73,18.18,3.64,9.09,18.18,1.82,5.45,1.82,3.64,3.64,25.45,5.45,25.45,5.45,3.64,100.0,1.82
writeIns,30.0,0.0,10.0,13.33,6.67,23.33,0.0,3.33,10.0,6.67,0.0,0.0,6.67,3.33,6.67,16.67,3.33,6.67,3.33,0.0,100.0
