Ballots with first choice:,Number of Ballots,AHSHA SAFAI ranked in top 3,BERTA HERNANDEZ ranked in top 3,FRANCISCO HERRERA ranked in top 3,KIM ALVARENGA ranked in top 3,MAGDALENA DE GUZMAN ranked in top 3
AHSHA SAFAI,9466,9466,2170,2664,3961,2855
BERTA HERNANDEZ,1607,472,1607,811,587,875
FRANCISCO HERRERA,2618,719,1288,2618,959,1208
KIM ALVARENGA,8670,3097,2571,3796,8670,2673
MAGDALENA DE GUZMAN,3019,936,1486,1345,1006,3019
