Ballots with first choice:,Number of Ballots,AARON PESKIN ranked in top 3,JULIE CHRISTENSEN ranked in top 3,WILMA PANG ranked in top 3
AARON PESKIN,8767,8767,3128,3577
JULIE CHRISTENSEN,7267,2135,7267,3010
WILMA PANG,660,278,335,660
