Ballots with first choice:,Number of Ballots,CHRISTINE JOHNSON ranked in top 3,MATT HANEY ranked in top 3,SONJA TRAUSS ranked in top 3
CHRISTINE JOHNSON,6267.0,100.0,68.05,74.76
MATT HANEY,14288.0,55.02,100.0,53.25
SONJA TRAUSS,4775.0,80.57,67.1,100.0
