Ballots with first choice:,Number of Ballots,"MANOHAR ""MANO"" RAJU ranked in top 3",writeIns ranked in top 3
"MANOHAR ""MANO"" RAJU",161295.0,100.0,0.0
writeIns,9.0,22.22,100.0
