Ballots with first choice:,Number of Ballots,LYNETTE GIBSON MCELHANEY ranked in top 3,NONI D. SESSION ranked in top 3
LYNETTE GIBSON MCELHANEY,13147.0,100.0,56.67
NONI D. SESSION,10108.0,41.67,100.0
