Ballots with first choice:,Number of Ballots,Andy Montroll ranked in top 3,Bob Kiss ranked in top 3,Dan Smith ranked in top 3,James Simpson ranked in top 3,Kurt Wright ranked in top 3,writeIns ranked in top 3
Andy Montroll,2063,2063,1153,1221,187,748,18
Bob Kiss,2585,1805,2585,1252,406,462,24
Dan Smith,1306,848,637,1306,139,489,10
James Simpson,35,13,20,14,35,9,1
Kurt Wright,2951,1352,546,1415,230,2951,35
writeIns,36,14,9,10,3,6,36
