Ballots with first choice:,Number of Ballots,ALEX MILLER-COLE ranked in top 3,DERRICK MUHAMMAD ranked in top 3,"LARRY LIONEL YOUNG, JR. ranked in top 3",LYNETTE GIBSON-MCELHANEY ranked in top 3,NYEISHA DEWITT ranked in top 3,SEAN SULLIVAN ranked in top 3,writeIns ranked in top 3
ALEX MILLER-COLE,2003,2003,375,297,690,755,720,19
DERRICK MUHAMMAD,3152,405,3152,634,1525,1453,631,16
"LARRY LIONEL YOUNG, JR.",1959,343,614,1959,688,599,597,11
LYNETTE GIBSON-MCELHANEY,5207,1050,1348,986,5207,2400,2170,33
NYEISHA DEWITT,3906,893,1091,821,1814,3906,987,25
SEAN SULLIVAN,5736,1691,1228,909,2714,1637,5736,41
writeIns,132,10,4,7,9,9,5,132
