Ballots with first choice:,Number of Ballots,BEVERLY WILLIAMS ranked in top 3,LARRY E. REID ranked in top 3,SHERYL WALTON ranked in top 3,writeIns ranked in top 3
BEVERLY WILLIAMS,1499,1499,850,934,32
LARRY E. REID,8725,4323,8725,4655,177
SHERYL WALTON,4734,2783,2656,4734,122
writeIns,107,13,11,15,107
