Ballots with first choice:,Number of Ballots,Bob Fine ranked in top 3,Brad Bourn ranked in top 3,Jennifer Zielinski ranked in top 3,"Robert M Schlosser ""Bob"" ranked in top 3",writeIns ranked in top 3
Bob Fine,7491,7491,2491,2237,1337,78
Brad Bourn,8083,3458,8083,1845,914,124
Jennifer Zielinski,2271,948,804,2271,674,36
"Robert M Schlosser ""Bob""",584,263,202,249,584,10
writeIns,56,6,5,4,4,56
