Ballots with first choice:,Number of Ballots,DAN DILLMAN ranked in top 3,DIANA SOUZA ranked in top 3,GREGG DALY ranked in top 3,PAULINE RUSSO CUTTER ranked in top 3
DAN DILLMAN,2246,2246,1214,33,1317
DIANA SOUZA,5950,3441,5950,5,4098
GREGG DALY,124,80,21,124,83
PAULINE RUSSO CUTTER,7889,4399,5147,71,7889
