Ballots with first choice:,Number of Ballots,Charlie Walker ranked in top 3,Dwayne Jusino ranked in top 3,Espanola Jackson ranked in top 3,Marie L. Harrison ranked in top 3,Rodney Hampton Jr. ranked in top 3,Sala Chandler ranked in top 3,Sophie Maxwell ranked in top 3
Charlie Walker,481.0,100.0,11.23,24.12,18.3,27.03,9.15,31.39
Dwayne Jusino,1723.0,6.96,100.0,27.1,20.43,24.67,10.91,36.16
Espanola Jackson,1483.0,14.97,17.33,100.0,24.01,26.97,11.73,34.79
Marie L. Harrison,1166.0,12.09,10.81,32.76,100.0,29.25,11.58,38.34
Rodney Hampton Jr.,1196.0,15.3,20.65,27.76,33.11,100.0,11.79,37.12
Sala Chandler,276.0,13.41,22.83,30.43,32.61,21.01,100.0,35.14
Sophie Maxwell,7997.0,7.75,14.04,18.94,24.07,18.49,6.99,100.0
