Ballots with first choice:,Number of Ballots,ELLEN LEE ZHOU ranked in top 3,JOEL VENTRESCA ranked in top 3,LONDON N. BREED ranked in top 3,MARC ROTH ranked in top 3,PAUL YBARRA ROBERTSON ranked in top 3,"ROBERT L. JORDAN, JR. ranked in top 3",WILMA PANG ranked in top 3,writeIns ranked in top 3
ELLEN LEE ZHOU,25006.0,25006.0,5393.0,7538.0,2.0,6737.0,2962.0,8575.0,1.0
JOEL VENTRESCA,13283.0,3189.0,13283.0,4637.0,3.0,3457.0,1778.0,3290.0,0.0
LONDON N. BREED,126221.0,24860.0,21729.0,126221.0,1.0,16753.0,7801.0,14932.0,2.0
MARC ROTH,7.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,0.0
PAUL YBARRA ROBERTSON,7649.0,2770.0,3020.0,1953.0,0.0,7649.0,1437.0,1843.0,0.0
"ROBERT L. JORDAN, JR.",2458.0,715.0,768.0,559.0,0.0,992.0,2458.0,576.0,0.0
WILMA PANG,4963.0,2175.0,1359.0,1229.0,1.0,1520.0,957.0,4963.0,0.0
writeIns,0.0,0,0,0,0,0,0,0,0
