Ballots with first choice:,Number of Ballots,CHARLIE MICHELSON ranked in top 3,JOSEPH E. SIMMONS ranked in top 3,JOSEPH TANIOS ranked in top 3,MATT HUMMEL ranked in top 3,NAYELI MAXSON ranked in top 3,PAM HARRIS ranked in top 3,SHENG THAO ranked in top 3
CHARLIE MICHELSON,2783,2783,321,310,392,861,806,1026
JOSEPH E. SIMMONS,934,133,934,104,120,217,444,248
JOSEPH TANIOS,699,141,88,699,138,190,173,183
MATT HUMMEL,1142,240,126,182,1142,254,520,353
NAYELI MAXSON,4086,539,288,360,441,4086,2195,2294
PAM HARRIS,6825,871,999,397,900,3105,6825,3117
SHENG THAO,8750,912,511,525,788,5117,5357,8750
