Ballots with first choice:,Number of Ballots,"Bennett, Adrienne ranked in top 3","Brakey, Eric L. ranked in top 3","Crafts, Dale John ranked in top 3"
"Bennett, Adrienne",16947.0,100.0,61.62,66.78
"Brakey, Eric L.",12001.0,58.04,100.0,61.59
"Crafts, Dale John",23725.0,56.84,53.07,100.0
