Ballots with first choice:,Number of Ballots,MIKE HUTCHINSON ranked in top 3,ROSIE TORRES ranked in top 3,writeIns ranked in top 3
MIKE HUTCHINSON,4950.0,100.0,52.12,7.72
ROSIE TORRES,6005.0,45.51,100.0,7.08
writeIns,83.0,14.46,18.07,100.0
