Ballots with first choice:,Number of Ballots,BEN GOULD ranked in top 3,GREGORY MAGOFNA ranked in top 3,KATE HARRISON ranked in top 3
BEN GOULD,1914,1914,1460,1288
GREGORY MAGOFNA,667,560,667,421
KATE HARRISON,2892,1810,1659,2892
