Ballots with first choice:,Number of Ballots,ANTHONY B. ''TONY'' SANTOS ranked in top 3,JOHN R. PALAU ranked in top 3,JOYCE RUTLEDGE STAROSCIAK ranked in top 3,LOU FILIPOVICH ranked in top 3,SARA M. MESTAS ranked in top 3,STEPHEN H. CASSIDY ranked in top 3,writeIns ranked in top 3
ANTHONY B. ''TONY'' SANTOS,7982.0,100.0,12.11,50.04,0.0,23.08,44.6,1.17
JOHN R. PALAU,390.0,28.46,100.0,23.85,0.0,43.85,43.59,2.05
JOYCE RUTLEDGE STAROSCIAK,5206.0,46.89,12.2,100.0,0.0,26.43,49.23,1.06
LOU FILIPOVICH,9.0,0.0,44.44,0.0,100.0,22.22,55.56,0.0
SARA M. MESTAS,925.0,36.0,28.86,41.41,0.11,100.0,40.54,2.59
STEPHEN H. CASSIDY,7908.0,38.72,19.7,50.99,0.1,29.36,100.0,1.34
writeIns,64.0,7.81,6.25,9.38,0.0,4.69,6.25,100.0
