Ballots with first choice:,Number of Ballots,DESLEY BROOKS ranked in top 3,JOSE DORADO ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,writeIns ranked in top 3
DESLEY BROOKS,8282,8282,4842,5003,207
JOSE DORADO,2767,1725,2767,1938,90
NANCY SIDEBOTHAM,1777,1062,1236,1777,76
writeIns,85,23,12,26,85
