Ballots with first choice:,Number of Ballots,DESLEY BROOKS ranked in top 3,JOSE DORADO ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,writeIns ranked in top 3
DESLEY BROOKS,8282.0,100.0,58.46,60.41,2.5
JOSE DORADO,2767.0,62.34,100.0,70.04,3.25
NANCY SIDEBOTHAM,1777.0,59.76,69.56,100.0,4.28
writeIns,85.0,27.06,14.12,30.59,100.0
