Ballots with first choice:,Number of Ballots,Billy Menz ranked in top 3,Chris Meyer ranked in top 3,Mohamed Issa Barre ranked in top 3,writeIns ranked in top 3
Billy Menz,5069.0,100.0,55.4,44.39,1.22
Chris Meyer,6357.0,60.59,100.0,44.99,1.51
Mohamed Issa Barre,2792.0,53.26,53.55,100.0,0.9
writeIns,82.0,9.76,6.1,3.66,100.0
