Ballots with first choice:,Number of Ballots,"Fulford, Jonathan S. ranked in top 3","Golden, Jared F. ranked in top 3","Olson, Craig R. ranked in top 3","St. Clair, Lucas R. ranked in top 3"
"Fulford, Jonathan S.",2496,2496,1275,1314,825
"Golden, Jared F.",21017,4288,21017,9721,11947
"Olson, Craig R.",4002,1086,2313,4002,2140
"St. Clair, Lucas R.",17790,3377,10853,8093,17790
