Ballots with first choice:,Number of Ballots,Betsy Hodges ranked in top 3,Joseph Henry ranked in top 3,Kris Broberg ranked in top 3,writeIns ranked in top 3
Betsy Hodges,4141,4141,1364,943,35
Joseph Henry,256,154,256,102,5
Kris Broberg,1578,427,472,1578,48
writeIns,6,1,2,2,6
