Ballots with first choice:,Number of Ballots,Arron Peskin ranked in top 3,Brian Murphy 0'flynn ranked in top 3,Eugene Chi-ching Wong ranked in top 3,Sal Busalacchi ranked in top 3
Arron Peskin,16177,16177,7807,5776,5862
Brian Murphy 0'flynn,4604,2059,4604,2350,3176
Eugene Chi-ching Wong,3569,1706,1981,3569,1412
Sal Busalacchi,1555,692,1170,702,1555
