Ballots with first choice:,Number of Ballots,GEORGE BEIER ranked in top 3,JACQUELYN MCCORMICK ranked in top 3,LORI DROSTE ranked in top 3,MIKE ALVAREZ COHEN ranked in top 3
GEORGE BEIER,1198.0,100.0,42.9,60.02,49.67
JACQUELYN MCCORMICK,837.0,58.3,100.0,64.28,30.7
LORI DROSTE,1318.0,45.9,44.54,100.0,52.2
MIKE ALVAREZ COHEN,1165.0,58.11,34.16,53.05,100.0
