Ballots with first choice:,Number of Ballots,Andrea Fahrenkrug ranked in top 3,Bill Shroyer ranked in top 3,Steffanie Musich ranked in top 3,writeIns ranked in top 3
Andrea Fahrenkrug,2689,2689,1673,1784,34
Bill Shroyer,3989,2018,3989,1923,71
Steffanie Musich,9466,4038,4369,9466,104
writeIns,91,5,8,9,91
