Ballots with first choice:,Number of Ballots,JODY LONDON ranked in top 3,THEARSE PECOT ranked in top 3,writeIns ranked in top 3
JODY LONDON,19840.0,100.0,43.26,4.13
THEARSE PECOT,6290.0,45.23,100.0,6.04
writeIns,184.0,17.93,15.76,100.0
