Ballots with first choice:,Number of Ballots,ANTOINETTE M REYES ranked in top 3,JOHANA BENCOMO ranked in top 3,ROBERT J PALACIOS ranked in top 3
ANTOINETTE M REYES,336,336,239,206
JOHANA BENCOMO,763,543,763,475
ROBERT J PALACIOS,458,267,257,458
