Ballots with first choice:,Number of Ballots,Jeffrey Alan Wagner ranked in top 3,Lisa Goodman ranked in top 3,Michael J. Katch ranked in top 3,writeIns ranked in top 3
Jeffrey Alan Wagner,321,321,101,204,15
Lisa Goodman,2997,486,2997,551,16
Michael J. Katch,1042,557,280,1042,45
writeIns,32,7,6,4,32
