Ballots with first choice:,Number of Ballots,DAVID CAMPOS ranked in top 3,ERIC QUEZADA ranked in top 3,ERIC STOREY ranked in top 3,EVA ROYALE ranked in top 3,MARK SANCHEZ ranked in top 3,TOM VALTIN ranked in top 3,VERN MATHEWS ranked in top 3,writeIns ranked in top 3
DAVID CAMPOS,9468,9468,5618,435,1625,6320,934,315,18
ERIC QUEZADA,5352,3398,5352,180,852,3360,421,156,12
ERIC STOREY,806,188,131,806,211,187,196,166,4
EVA ROYALE,1842,685,576,242,1842,754,305,240,0
MARK SANCHEZ,7648,5096,4427,357,1290,7648,887,269,16
TOM VALTIN,862,363,220,151,206,289,862,132,1
VERN MATHEWS,469,107,71,187,128,120,127,469,1
writeIns,39,4,4,1,0,4,0,2,39
