Ballots with first choice:,Number of Ballots,Bob Reuer ranked in top 3,Linea Palmisano ranked in top 3,writeIns ranked in top 3
Bob Reuer,1835.0,100.0,29.7,7.14
Linea Palmisano,9410.0,23.23,100.0,3.3
writeIns,68.0,17.65,29.41,100.0
