Ballots with first choice:,Number of Ballots,Michela Alioto-pier ranked in top 3,Vilma Guinto Peoro ranked in top 3,writeIns ranked in top 3
Michela Alioto-pier,16707.0,100.0,21.73,0.27
Vilma Guinto Peoro,3487.0,36.02,100.0,0.4
writeIns,716.0,25.56,22.91,100.0
