Ballots with first choice:,Number of Ballots,David Ferguson ranked in top 3,Doug Chan ranked in top 3,Ed Jew ranked in top 3,Houston Zheng ranked in top 3,Jaynry Mak ranked in top 3,Ron Dudum ranked in top 3,writeIns ranked in top 3
David Ferguson,1455.0,100.0,16.7,28.66,10.17,39.45,37.25,0.0
Doug Chan,3236.0,13.5,100.0,48.08,10.32,41.44,35.54,0.0
Ed Jew,5184.0,10.57,57.52,100.0,17.84,47.92,17.96,0.0
Houston Zheng,234.0,27.35,41.03,44.02,100.0,29.49,19.66,0.0
Jaynry Mak,4569.0,28.1,35.57,35.89,9.5,100.0,24.32,0.02
Ron Dudum,5134.0,30.76,30.04,30.99,5.98,23.84,100.0,0.02
writeIns,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
