Ballots with first choice:,Number of Ballots,CORINA N. LOPEZ ranked in top 3,PAULINE RUSSO CUTTER ranked in top 3,writeIns ranked in top 3
CORINA N. LOPEZ,9291,9291,5039,707
PAULINE RUSSO CUTTER,10784,6280,10784,789
writeIns,217,47,47,217
