Ballots with first choice:,Number of Ballots,BRENDA ROBERTS ranked in top 3,COURTNEY RUBY ranked in top 3
BRENDA ROBERTS,46532.0,100.0,58.95
COURTNEY RUBY,87759.0,36.71,100.0
