Ballots with first choice:,Number of Ballots,Andy Montroll ranked in top 3,Bob Kiss ranked in top 3,Dan Smith ranked in top 3,James Simpson ranked in top 3,Kurt Wright ranked in top 3,writeIns ranked in top 3
Andy Montroll,2063.0,100.0,55.89,59.19,9.06,36.26,0.87
Bob Kiss,2585.0,69.83,100.0,48.43,15.71,17.87,0.93
Dan Smith,1306.0,64.93,48.77,100.0,10.64,37.44,0.77
James Simpson,35.0,37.14,57.14,40.0,100.0,25.71,2.86
Kurt Wright,2951.0,45.81,18.5,47.95,7.79,100.0,1.19
writeIns,36.0,38.89,25.0,27.78,8.33,16.67,100.0
