Ballots with first choice:,Number of Ballots,BARBARA PARKER ranked in top 3,JANE BRUNNER ranked in top 3,writeIns ranked in top 3
BARBARA PARKER,90055,90055,38324,5336
JANE BRUNNER,40488,22752,40488,2692
writeIns,1066,218,176,1066
