Ballots with first choice:,Number of Ballots,Don Samuels ranked in top 3,Kenya McKnight ranked in top 3,Lennie Chism ranked in top 3,Natalie Johnson Lee ranked in top 3,Roger Smithrud ranked in top 3,writeIns ranked in top 3
Don Samuels,1020.0,100.0,31.76,11.86,31.86,7.25,1.27
Kenya McKnight,336.0,35.71,100.0,36.31,68.15,6.55,0.89
Lennie Chism,61.0,31.15,52.46,100.0,50.82,16.39,0.0
Natalie Johnson Lee,652.0,30.06,52.76,28.37,100.0,7.36,0.31
Roger Smithrud,93.0,30.11,16.13,19.35,33.33,100.0,6.45
writeIns,8.0,37.5,0.0,0.0,25.0,0.0,100.0
