Ballots with first choice:,Number of Ballots,ANNIE CAMPBELL WASHINGTON ranked in top 3,JILL BROADHURST ranked in top 3,PAUL LIM ranked in top 3
ANNIE CAMPBELL WASHINGTON,11358,11358,6860,5302
JILL BROADHURST,5335,3637,5335,2846
PAUL LIM,1011,602,624,1011
