Ballots with first choice:,Number of Ballots,PHOEBE SORGEN ranked in top 3,SUSAN WENGRAF ranked in top 3,writeIns ranked in top 3
PHOEBE SORGEN,292.0,100.0,16.44,8.9
SUSAN WENGRAF,5601.0,0.59,100.0,1.09
writeIns,84.0,0.0,9.52,100.0
