Ballots with first choice:,Number of Ballots,James Boris Perez ranked in top 3,Lucrecia Bermudez ranked in top 3,Miguel Bustos ranked in top 3,Renee Saucedo ranked in top 3,Steve Zeltzer ranked in top 3,Tom Ammiano ranked in top 3,writeIns ranked in top 3
James Boris Perez,583,583,102,274,156,124,175,0
Lucrecia Bermudez,1027,117,1027,475,622,104,400,0
Miguel Bustos,4346,699,1042,4346,2079,559,1984,1
Renee Saucedo,5497,320,1951,2683,5497,432,3433,0
Steve Zeltzer,806,279,100,292,283,806,259,0
Tom Ammiano,12592,780,2700,5192,7948,1236,12592,4
writeIns,17,0,2,5,5,0,8,17
