Ballots with first choice:,Number of Ballots,JOHN ROBINSON ranked in top 3,ROSS MIRKARIMI ranked in top 3,VICKI HENNESSY ranked in top 3
JOHN ROBINSON,11036,11036,4786,6640
ROSS MIRKARIMI,61446,23156,61446,28047
VICKI HENNESSY,113349,46465,34979,113349
