Ballots with first choice:,Number of Ballots,AARON PESKIN ranked in top 3,TIM E. DONNELLY ranked in top 3
AARON PESKIN,19211.0,100.0,38.86
TIM E. DONNELLY,7447.0,44.33,100.0
