Ballots with first choice:,Number of Ballots,Bob Fine ranked in top 3,Brad Bourn ranked in top 3,Jennifer Zielinski ranked in top 3,"Robert M Schlosser ""Bob"" ranked in top 3",writeIns ranked in top 3
Bob Fine,7491.0,100.0,33.25,29.86,17.85,1.04
Brad Bourn,8083.0,42.78,100.0,22.83,11.31,1.53
Jennifer Zielinski,2271.0,41.74,35.4,100.0,29.68,1.59
"Robert M Schlosser ""Bob""",584.0,45.03,34.59,42.64,100.0,1.71
writeIns,56.0,10.71,8.93,7.14,7.14,100.0
