Ballots with first choice:,Number of Ballots,DAVID LUCE ranked in top 3,JON OLSON ranked in top 3,writeIns ranked in top 3
DAVID LUCE,1931,1931,1039,85
JON OLSON,4070,1651,4070,148
writeIns,53,14,15,53
