Ballots with first choice:,Number of Ballots,"Adkins, Lawrence J. ranked in top 3","Condit, James E., III ranked in top 3","Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Galluccio, Anthony D. ranked in top 3","Gordon, Jesse A. ranked in top 3","Green, Andre Lerone ranked in top 3","Hall, Robert Lee, Sr. ranked in top 3","Hees, Bill ranked in top 3","Kelley, Craig A. ranked in top 3","LaTremouille, Robert J. ranked in top 3","Maher, David P. ranked in top 3","Murphy, Brian ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, Denise ranked in top 3","Sullivan, Michael A. ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3",writeIns ranked in top 3
"Adkins, Lawrence J.",242.0,100.0,6.2,12.81,17.77,11.16,10.33,3.31,1.65,2.07,11.98,2.89,4.96,6.2,30.58,10.33,32.23,8.68,6.61,0.0
"Condit, James E., III",41.0,7.32,100.0,14.63,17.07,12.2,12.2,17.07,7.32,19.51,4.88,7.32,7.32,2.44,0.0,12.2,9.76,9.76,4.88,0.0
"Davis, Henrietta",1457.0,1.37,0.55,100.0,43.17,12.29,8.92,1.78,0.69,1.03,9.68,1.99,8.1,27.04,11.6,15.1,27.18,9.47,3.84,0.07
"Decker, Marjorie C.",1524.0,2.3,0.59,36.48,100.0,17.78,8.73,1.77,0.46,1.25,6.82,1.25,6.76,18.96,19.09,11.15,32.02,11.68,6.5,0.26
"Galluccio, Anthony D.",1997.0,1.65,0.75,9.51,13.42,100.0,2.9,1.75,2.15,1.5,6.06,1.5,26.39,8.21,14.82,3.3,10.52,45.67,24.34,0.25
"Gordon, Jesse A.",625.0,4.8,1.44,21.76,22.56,9.12,100.0,6.08,3.68,3.04,12.48,2.56,3.84,19.84,14.4,28.16,18.72,5.28,3.52,0.32
"Green, Andre Lerone",181.0,2.76,6.08,4.97,4.42,14.36,12.15,100.0,12.71,30.39,8.84,2.76,7.73,5.52,7.73,8.29,9.94,11.6,7.73,1.1
"Hall, Robert Lee, Sr.",74.0,5.41,2.7,8.11,4.05,21.62,13.51,10.81,100.0,14.86,17.57,1.35,6.76,4.05,20.27,10.81,16.22,8.11,1.35,0.0
"Hees, Bill",197.0,4.57,17.77,6.09,4.06,19.29,6.6,29.95,7.11,100.0,16.75,10.15,13.71,4.06,2.03,9.64,4.06,12.18,7.11,0.0
"Kelley, Craig A.",1041.0,6.24,0.77,23.44,20.27,14.02,14.6,3.46,2.31,3.36,100.0,3.17,8.84,16.52,8.17,25.94,12.87,9.7,4.8,0.67
"LaTremouille, Robert J.",118.0,5.08,2.54,19.49,14.41,6.78,6.78,7.63,1.69,9.32,14.41,100.0,7.63,10.17,13.56,16.1,11.86,14.41,4.24,0.85
"Maher, David P.",900.0,0.67,0.33,11.44,10.56,40.33,3.0,1.0,0.44,1.78,5.11,0.67,100.0,16.33,8.44,5.33,8.22,43.78,21.11,0.0
"Murphy, Brian",1236.0,1.13,0.73,38.92,28.07,11.73,8.9,0.57,0.57,1.29,9.14,1.7,12.06,100.0,11.25,22.17,18.69,11.33,3.48,0.08
"Reeves, Kenneth E.",1205.0,7.55,0.58,15.93,20.33,19.42,2.82,1.99,2.24,1.08,2.49,0.83,5.23,7.14,100.0,4.9,47.39,21.49,8.63,0.17
"Seidel, Sam",973.0,5.14,2.47,31.14,23.02,10.28,15.52,1.64,0.82,1.54,35.25,2.36,8.12,22.2,5.55,100.0,16.34,6.27,1.64,0.1
"Simmons, Denise",1327.0,6.63,1.06,26.6,35.64,12.51,5.2,1.88,1.58,0.98,5.58,1.28,4.67,13.49,32.25,8.14,100.0,14.54,7.69,0.08
"Sullivan, Michael A.",1462.0,2.87,0.89,9.64,15.05,39.95,2.19,0.96,1.03,1.37,4.86,1.37,25.92,7.93,12.11,2.12,11.29,100.0,34.75,0.27
"Toomey, Timothy J., Jr.",1431.0,0.91,1.05,5.59,9.29,40.74,1.33,1.54,0.98,1.12,2.59,0.63,17.47,3.21,8.39,2.17,7.83,49.27,100.0,0.14
writeIns,15.0,0.0,0.0,0.0,13.33,0.0,13.33,6.67,6.67,0.0,0.0,0.0,0.0,13.33,6.67,13.33,6.67,0.0,0.0,100.0
