Ballots with first choice:,Number of Ballots,BRAD BOURN ranked in top 3,JOSH NEIMAN ranked in top 3,writeIns ranked in top 3
BRAD BOURN,8903,8903,3888,208
JOSH NEIMAN,4775,2402,4775,146
writeIns,61,19,19,61
