Ballots with first choice:,Number of Ballots,RENATO ALMANZOR ranked in top 3,SHANTHI GONZALES ranked in top 3
RENATO ALMANZOR,4306.0,100.0,54.34
SHANTHI GONZALES,6078.0,49.7,100.0
