Ballots with first choice:,Number of Ballots,BENJAMIN LANG ranked in top 3,JUMOKE HINTON HODGE ranked in top 3,RICHARD FUENTES ranked in top 3,writeIns ranked in top 3
BENJAMIN LANG,5298.0,100.0,64.53,66.23,2.96
JUMOKE HINTON HODGE,9694.0,53.9,100.0,55.24,1.74
RICHARD FUENTES,5547.0,58.77,57.65,100.0,2.15
writeIns,177.0,12.43,14.12,11.3,100.0
