Ballots with first choice:,Number of Ballots,"DAVID L. ANDERSON, SR. ranked in top 3",DEBORAH COX ranked in top 3,KENNETH PON ranked in top 3,MIKE KATZ-LACABE ranked in top 3
"DAVID L. ANDERSON, SR.",2048.0,100.0,46.14,39.7,33.98
DEBORAH COX,6552.0,31.01,100.0,49.79,48.69
KENNETH PON,3365.0,31.68,59.02,100.0,45.05
MIKE KATZ-LACABE,3480.0,28.94,59.68,52.76,100.0
