Ballots with first choice:,Number of Ballots,OWEN P. O''DONNELL ranked in top 3,ROB ANDERSON ranked in top 3,ROSS MIRKARIMI ranked in top 3,writeIns ranked in top 3
OWEN P. O''DONNELL,5993.0,100.0,69.18,68.48,0.8
ROB ANDERSON,2014.0,72.49,100.0,67.18,1.44
ROSS MIRKARIMI,27564.0,53.22,48.56,100.0,0.95
writeIns,88.0,10.23,12.5,13.64,100.0
