Ballots with first choice:,Number of Ballots,FRED DODSWORTH ranked in top 3,ISABELLE GASTON ranked in top 3,SUSAN WENGRAF ranked in top 3
FRED DODSWORTH,2175.0,100.0,64.83,56.46
ISABELLE GASTON,929.0,63.08,100.0,62.11
SUSAN WENGRAF,4358.0,47.52,44.88,100.0
