Ballots with first choice:,Number of Ballots,Anita Grier ranked in top 3,Fil M. Silverio ranked in top 3,Gerardo Sandoval ranked in top 3,Jose Medina ranked in top 3,Myrna Viray Lim ranked in top 3,Rebecca Reynolds Silverberg ranked in top 3,Rolando A. Bonialla ranked in top 3,Tom Yuen ranked in top 3
Anita Grier,2806.0,100.0,5.1,27.87,30.9,33.61,27.44,12.94,19.92
Fil M. Silverio,307.0,28.34,100.0,20.85,16.29,28.34,26.06,15.64,18.89
Gerardo Sandoval,7477.0,22.86,3.37,100.0,40.19,20.17,19.15,25.1,9.26
Jose Medina,2869.0,31.13,5.82,40.75,100.0,26.35,23.11,25.03,9.93
Myrna Viray Lim,4280.0,29.39,7.59,29.86,24.37,100.0,18.46,17.03,27.94
Rebecca Reynolds Silverberg,1816.0,35.96,5.01,28.03,32.71,32.1,100.0,21.48,11.01
Rolando A. Bonialla,2293.0,17.92,5.19,35.76,35.72,25.47,21.85,100.0,8.68
Tom Yuen,1328.0,37.35,8.36,20.11,16.11,54.29,13.18,5.35,100.0
