Ballots with first choice:,Number of Ballots,JEFF SHEEHY ranked in top 3,LAWRENCE ''STARK'' DAGESSE ranked in top 3,RAFAEL MANDELMAN ranked in top 3
JEFF SHEEHY,12669,12669,5728,8422
LAWRENCE ''STARK'' DAGESSE,597,418,597,443
RAFAEL MANDELMAN,19996,12466,7703,19996
