Ballots with first choice:,Number of Ballots,CHERYL DAVILA ranked in top 3,DARRYL MOORE ranked in top 3,NANCI IRA ARMSTRONG-TEMPLE ranked in top 3
CHERYL DAVILA,2215.0,100.0,57.79,73.54
DARRYL MOORE,2837.0,58.69,100.0,55.62
NANCI IRA ARMSTRONG-TEMPLE,2086.0,75.36,54.07,100.0
