Ballots with first choice:,Number of Ballots,LARRY E. REID ranked in top 3,MARCIE HODGE ranked in top 3,NEHANDA IMARA ranked in top 3
LARRY E. REID,8464,8464,4586,4118
MARCIE HODGE,3947,2570,3947,2500
NEHANDA IMARA,3324,1975,2121,3324
