Ballots with first choice:,Number of Ballots,CHRIS JACKSON ranked in top 3,JAMES HARRIS ranked in top 3
CHRIS JACKSON,4965.0,100.0,50.01
JAMES HARRIS,9965.0,49.89,100.0
