Ballots with first choice:,Number of Ballots,AIDAN HILL ranked in top 3,CECILIA ''CES'' ROSALES ranked in top 3,RIGEL ROBINSON ranked in top 3
AIDAN HILL,254.0,100.0,65.75,83.07
CECILIA ''CES'' ROSALES,967.0,64.53,100.0,79.52
RIGEL ROBINSON,1587.0,64.4,73.16,100.0
